date,AAPL,MSFT,NVDA,JPM,XOM,AMZN,META,GOOGL,TSLA,UNH
2021-06-29,0.00985501939616618,0.008836333006427848,0.018302111474943365,0.012198076168960157,0.018853255166586997,0.011210646935565899,0.01456359343838784,0.008157455673631051,0.025035360485882185,0.009507036620573818
2021-06-30,0.009726172705149857,0.008426378943430715,0.018368116033414473,0.012094860840931134,0.01742752895114559,0.011231846094507426,0.014933859916862307,0.007944850358877157,0.025028815448065313,0.009268457965724097
2021-07-01,0.009731765274163865,0.008367656113561255,0.017715398273204713,0.012408041993072284,0.017376967341641993,0.01128278643196069,0.015339775532855534,0.007844665416669125,0.02380805332021123,0.00959766567125353
2021-07-02,0.009468113667965227,0.008806936285628734,0.01773679124742573,0.012391437270113636,0.01738310145806759,0.011314191086342684,0.015064423424879335,0.008662753226020765,0.019459949710019277,0.009832745960032196
2021-07-06,0.009221571894940106,0.008216908393008886,0.016695569612078773,0.012723107476491068,0.01858556527572874,0.014463986696361182,0.015047021864355222,0.007895525738481258,0.0191553958613623,0.009740785127369212
2021-07-07,0.009484394983298823,0.00809250296553184,0.017451222395589012,0.012762396691693477,0.018853633746998895,0.014316697936351652,0.014746216527963835,0.007891514792689845,0.020014315560148183,0.009200456077768053
2021-07-08,0.01009338668644281,0.008379832547045094,0.018348376543547186,0.0131276291376209,0.01840730532563898,0.01399249481282532,0.014977390447756277,0.008413281870572378,0.020076288431785196,0.009266518885783373
2021-07-09,0.010188935803566314,0.008398681497911438,0.018151922947091285,0.015063550051291563,0.01878188242718742,0.0141481837028965,0.014932060254589043,0.008411429502648244,0.019900249789632878,0.009286084343539412
2021-07-12,0.00994995423541837,0.008193922816077375,0.01846246762049411,0.015104031706510472,0.01877186827995589,0.013793126790729523,0.014948465505913914,0.008428861581539975,0.02140429772248958,0.009448199351051687
2021-07-13,0.00992683779622425,0.008447538897223272,0.018654734901361592,0.01543417318300831,0.018700330151846006,0.014187626283068053,0.014936373101690152,0.008379558764827086,0.02241992635820716,0.00914700923968851
2021-07-14,0.009885297307554568,0.008412838785040835,0.019482206889807317,0.01500815001104322,0.01927706752625176,0.01412374295509019,0.01496899018795,0.008359310394758974,0.023096411470602304,0.009494104079259574
2021-07-15,0.0097668920340022,0.008375674070958166,0.022031260471670724,0.014625394484049502,0.01727550249123667,0.014629626272772854,0.015147439521284122,0.008441952672695806,0.021919625555373544,0.00977864197718401
2021-07-16,0.010751067729021156,0.008266678822717281,0.024254758556188187,0.015396686036933978,0.018042098499136332,0.015144661606080776,0.014789829915214043,0.008288337009352612,0.022083994388659763,0.009538851060012059
2021-07-19,0.012785954625720734,0.008805797779798806,0.023179504127376137,0.01576022179189578,0.01816184513570775,0.014589788995513215,0.014674920105850538,0.009395603183147309,0.02177049214860534,0.011383972875383534
2021-07-20,0.013225362596062235,0.00865731100236766,0.023267195505322906,0.015280728577517048,0.017854480453981476,0.014639410649577408,0.014170395009051009,0.00911318984337176,0.022118514231049394,0.010704701540995305
2021-07-21,0.013263083907557203,0.008475459078150003,0.024830424556268074,0.015512804842725724,0.017435484426434597,0.014438912281021211,0.014335039433433002,0.008917844871724596,0.02219500317023673,0.009760834221454393
2021-07-22,0.013186435075635177,0.008823373661830773,0.024369630652541472,0.01579485170031306,0.016691006017733965,0.014431447310109362,0.014018302798270784,0.008965016021188182,0.022336756806995546,0.009761844889213764
2021-07-23,0.013198527249567129,0.008956785063548462,0.02432335819889645,0.01575075830283279,0.01647065482945224,0.014439535037201108,0.01776162921635483,0.011412517505850315,0.019342100335435635,0.009507226560727835
2021-07-26,0.013106541778891038,0.009057058290416788,0.02448283403319644,0.015688955645189264,0.017673904513325216,0.01398597009859934,0.017757894443719793,0.01143598408347908,0.018327235943705614,0.009791851419827325
2021-07-27,0.01375211932736852,0.009207732609919979,0.024414907611604475,0.015520335228279291,0.01765526282978162,0.014422180081491065,0.01801517048591655,0.012245981607866151,0.018627955037427736,0.009316307025510057
2021-07-28,0.01410420255387792,0.008959300082105496,0.022065017114282482,0.015519114236408794,0.017185632968269977,0.014266000309455676,0.016101494001491648,0.013627955623363502,0.01765303914244019,0.009695180411043969
2021-07-29,0.013989419307983114,0.008825518598621736,0.022148547719036356,0.015643298336843813,0.017517603182449246,0.014462978778130456,0.018495646077826777,0.013632609474617394,0.020477660985851357,0.009539431907469984
2021-07-30,0.013989552908146095,0.008955147382880752,0.022208256877387436,0.015588514806745238,0.017897983670698912,0.01943586124480109,0.01832783477945673,0.013848852991629024,0.020722165641819126,0.009493360152721652
2021-08-02,0.01403750340537647,0.008974534884651313,0.02227628643675141,0.015403345317370469,0.017853620385168432,0.01943613331078751,0.01807353625248963,0.013868009040775772,0.021820258755054563,0.00936376999122391
2021-08-03,0.013707808672154218,0.007887243404389593,0.02205143249967376,0.01565770651794087,0.018151332979184955,0.0188958898066274,0.018074934365172584,0.01323969137947789,0.021824501956031722,0.009619016718878524
2021-08-04,0.013459784975172518,0.007922693001599217,0.02255743638008883,0.015401732562560532,0.01782213394157917,0.015550341407810586,0.018658588192590145,0.013310120022986753,0.020642018729857717,0.00962999381446853
2021-08-05,0.012939745950915462,0.008034814789125431,0.022639538252099904,0.01566789903635537,0.017722710103179343,0.015570290245024194,0.018711270212579886,0.013352581050348748,0.01973135777950592,0.011171595801080444
2021-08-06,0.012802243967431183,0.0076752062712750115,0.02221034495761366,0.016287070234218198,0.01797813700965117,0.015340198721055237,0.0183691426759081,0.013027104145261544,0.020485729646038606,0.011317750305148791
2021-08-09,0.012507405070426653,0.0077838786882287415,0.022183175518614495,0.014825354233215503,0.017498060135622984,0.015355779683799581,0.018250941196615005,0.01306741459820613,0.020832604298795597,0.011504690355009683
2021-08-10,0.012493074484266056,0.007950851776648695,0.02191940074426357,0.014738011617488691,0.018044933355196222,0.015336880469951733,0.018202156067696516,0.012994698671842117,0.01889874432889718,0.01130787484770697
2021-08-11,0.012382370488190318,0.007497944040584479,0.021896135397827428,0.01450112476498934,0.018072257226408338,0.015291431676101057,0.01820458706920452,0.013095147100728583,0.017906400948884026,0.0113823895015917
2021-08-12,0.01208821479328776,0.007691922502286046,0.02158411501075047,0.014461097168877845,0.017459311246184304,0.015339936443696302,0.017970987777244037,0.01309077341844818,0.017278546318354078,0.011264720546848066
2021-08-13,0.012047176358417856,0.007793531652052072,0.019100212080328305,0.014747074714756671,0.0174688494018325,0.015180459764350774,0.017789293647546073,0.01275438026287866,0.017362175936472535,0.01106975013617635
2021-08-16,0.011898647497058141,0.007809270021834082,0.016309524040879028,0.013786228320448894,0.016664618895536817,0.014947080476548115,0.01762119875607656,0.01271918101847788,0.02018258228269871,0.0118550422573912
2021-08-17,0.01009235617051586,0.007160969743297461,0.016095832964135505,0.011715864040363176,0.014773026875394892,0.015267013864158527,0.018193236106416533,0.012161146053881208,0.021448704730485078,0.010552647051403663
2021-08-18,0.010458050786948923,0.007286749124023441,0.01674505701932917,0.011456976175798805,0.015339391739202892,0.015219367036151963,0.01817341053869945,0.012325581874049018,0.022205631718388755,0.01069836895436366
2021-08-19,0.010396133037338032,0.00827336226736543,0.016394323229583313,0.01078992539847252,0.014827790526814606,0.015120233613857477,0.017991272868159196,0.012218190813195877,0.02276776635263932,0.011951077661085092
