date,portfolio_value
2024-02-12,2017372.3184702771
2024-02-13,1996521.0389486533
2024-02-14,2020612.6865667433
2024-02-15,2026456.6450333204
2024-02-16,2016202.4696500562
2024-02-20,1984637.2715832773
2024-02-21,1978754.486026194
2024-02-22,2085777.2750623506
2024-02-23,2081390.5175325589
2024-02-26,2075750.1403345922
2024-02-27,2072692.1482821596
2024-02-28,2057704.325651309
2024-02-29,2078548.74118021
2024-03-01,2108783.5196522283
2024-03-04,2110060.175635688
2024-03-05,2099538.9906036374
2024-03-06,2121828.5784968077
2024-03-07,2169856.1881644
2024-03-08,2130140.9843494813
2024-03-11,2116293.3532294733
2024-03-12,2177179.654475354
2024-03-13,2169261.0713500115
2024-03-14,2156678.176186465
2024-03-15,2146040.984039264
2024-03-18,2172408.844735609
2024-03-19,2187304.7374551515
2024-03-20,2209431.816933764
2024-03-21,2215114.1842255723
2024-03-22,2238721.908213845
2024-03-25,2238679.31461764
2024-03-26,2218111.399840256
2024-03-27,2211313.87711463
2024-03-28,2210702.6640090276
2024-04-01,2218401.543433519
2024-04-02,2203314.1113709537
2024-04-03,2205505.170764733
2024-04-04,2174882.0735463924
2024-04-05,2210452.2477149493
2024-04-08,2204247.1680033547
2024-04-09,2197164.5266619404
2024-04-10,2204221.158929879
2024-04-11,2243958.4171341807
2024-04-12,2198531.3593986672
2024-04-15,2161807.314634641
2024-04-16,2170147.8044002834
2024-04-17,2141355.9730029404
2024-04-18,2146755.7320153043
2024-04-19,2074103.6219527116
2024-04-22,2105437.915678388
2024-04-23,2143956.7001103503
2024-04-24,2131917.879648877
2024-04-25,2131898.7932440317
2024-04-26,2187224.662309354
2024-04-29,2192101.7722693286
2024-04-30,2153411.5527057615
2024-05-01,2129339.8235005722
2024-05-02,2165649.0327620367
2024-05-03,2204818.7698914446
2024-05-06,2245465.824145415
2024-05-07,2233826.9716538945
2024-05-08,2235318.5380771826
2024-05-09,2235527.2294376194
2024-05-10,2241890.3945397614
2024-05-13,2245797.082886428
2024-05-14,2265882.607556134
2024-05-15,2304304.6043220577
2024-05-16,2298490.876141298
2024-05-17,2295201.7373562106
2024-05-20,2301239.550805335
2024-05-21,2315758.8670400293
2024-05-22,2300422.5002254215
2024-05-23,2347191.310089864
2024-05-24,2380383.9762130845
2024-05-28,2441019.3065679953
2024-05-29,2434476.439609506
2024-05-30,2388761.155929906
2024-05-31,2397527.8634700817
2024-06-03,2436439.00173393
2024-06-04,2444517.964109737
2024-06-05,2504159.1446309085
2024-06-06,2498584.6495266994
2024-06-07,2491655.566964427
2024-06-10,2504070.385929965
2024-06-11,2506482.050066709
2024-06-12,2545397.677686858
2024-06-13,2576311.0748942597
2024-06-14,2590359.623127293
2024-06-17,2592302.7335096328
2024-06-18,2619790.2636940177
2024-06-20,2591210.649180593
2024-06-21,2557583.7538077454
2024-06-24,2504800.626534129
2024-06-25,2579002.676721343
2024-06-26,2593690.0375816617
2024-06-27,2587148.497312534
2024-06-28,2576160.420155355
2024-07-01,2597934.658435378
2024-07-02,2606274.7328807637
2024-07-03,2655412.1876292364
2024-07-05,2657125.517484882
2024-07-08,2667558.99660823
2024-07-09,2692989.128541454
2024-07-10,2737047.6559616886
2024-07-11,2647538.905538621
2024-07-12,2660278.7083470756
2024-07-15,2669869.246592554
2024-07-16,2664137.8502659947
